timestamp,open,high,low,close,volume
1584662400000,6184.88,6932.04,5691.69,6206.44,947038097.6400001
1584748800000,6206.44,6459.65,5876.79,6195.43,415771088.6499999
1584835200000,6195.43,6415.14,5750.68,5828.15,457211401.97
1584921600000,5828.15,6614.56,5703.64,6503.53,667919370.2200001
1585008000000,6503.53,6857.49,6406.64,6767.18,700444488.15
1585094400000,6767.18,6980.29,6483.0,6694.21,566264216.0699999
1585180800000,6694.21,6796.12,6539.61,6757.95,302121295.0999999
1585267200000,6757.95,6876.97,6312.53,6382.8,381303011.55
1585353600000,6382.8,6384.56,6051.23,6252.49,378476570.99
1585440000000,6252.49,6286.96,5882.2,5882.2,286789900.15000004
1585526400000,5882.2,6616.94,5874.8,6403.31,445848282.12
1585612800000,6403.31,6531.66,6350.61,6423.61,233613490.17
1585699200000,6423.61,6716.04,6168.0,6663.63,377164250.72
1585785600000,6663.63,7245.15,6585.75,6804.42,635319847.5300001
1585872000000,6804.42,7044.01,6618.82,6743.68,379639119.54
1585958400000,6743.68,7010.45,6671.05,6875.95,230044243.33
1586044800000,6875.95,6910.39,6689.07,6781.64,182019861.56
1586131200000,6781.64,7359.05,6779.91,7347.22,560075869.58
1586217600000,7347.22,7462.51,7084.52,7201.57,516422836.6999999
1586304000000,7201.57,7425.85,7157.96,7367.37,445330043.7600001
1586390400000,7367.37,7374.01,7124.88,7294.55,321287689.9
1586476800000,7294.55,7304.8,6757.67,6876.49,440132415.16
1586563200000,6876.49,6956.27,6785.52,6887.6,171352839.68000004
1586649600000,6887.6,7199.97,6802.16,6913.76,297514761.29
1586736000000,6913.76,6913.76,6612.34,6859.43,426458894.17999995
1586822400000,6859.43,6986.75,6773.97,6879.44,307409556.71999997
1586908800000,6879.44,6937.49,6614.79,6629.54,336722796.72
1586995200000,6629.54,7207.11,6487.08,7114.55,685621725.4799999
1587081600000,7114.55,7155.17,7005.79,7037.12,324325510.8
1587168000000,7037.12,7304.35,7028.43,7264.29,258251102.84999996
1587254400000,7264.29,7276.84,7072.33,7132.88,211422409.65
1587340800000,7132.88,7225.23,6770.07,6842.45,452319848.97
1587427200000,6842.45,6948.78,6779.51,6855.11,305844254.31000006
1587513600000,6855.11,7165.43,6831.44,7135.41,308254465.66
1587600000000,7135.41,7731.56,7041.2,7489.25,599195847.97
1587686400000,7489.25,7607.28,7408.35,7509.44,389027134.46
1587772800000,7509.44,7708.4,7445.98,7546.92,227962632.36000004
1587859200000,7546.92,7705.3,7497.88,7701.35,251857766.26000005
1587945600000,7701.35,7790.33,7639.98,7787.41,374439201.75
1588032000000,7787.41,7791.85,7671.26,7760.32,297442241.62
1588118400000,7760.32,8952.44,7733.02,8784.96,1324299206.2500002
1588204800000,8784.96,9460.77,8416.64,8637.56,1439132256.65
1588291200000,8637.56,9066.47,8631.39,8829.12,620133839.6500001
1588377600000,8829.12,9013.29,8768.81,8981.11,321429140.4100001
1588464000000,8981.11,9197.48,8735.78,8907.19,534161419.8
1588550400000,8907.19,8968.9,8537.49,8881.65,568639005.1899999
1588636800000,8881.65,9119.13,8781.58,9029.75,538111122.64
1588723200000,9029.75,9408.99,8924.06,9153.2,818515486.37
1588809600000,9153.2,10064.33,9042.52,9999.93,1213223439.7
1588896000000,9999.93,10041.73,9728.64,9808.18,907665361.5900002
1588982400000,9808.18,9912.22,9525.77,9541.13,580103588.21
1589068800000,9541.13,9556.85,8228.22,8735.05,1159765920.8700001
1589155200000,8735.05,9164.84,8228.58,8568.88,1259789388.46
1589241600000,8568.88,8975.74,8541.95,8821.18,580579256.61
1589328000000,8821.18,9407.67,8807.57,9317.44,622255318.56
1589414400000,9317.44,9937.97,9263.29,9793.19,936692997.5899999
1589500800000,9793.19,9841.71,9149.13,9311.69,798930933.9399998
1589587200000,9311.69,9584.9,9224.32,9387.08,348262438.59999996
1589673600000,9387.08,9885.55,9334.23,9670.56,505834872.59
1589760000000,9670.56,9943.74,9476.37,9722.73,606235218.2799999
1589846400000,9722.73,9890.69,9471.96,9780.2,587660019.81
1589932800000,9780.2,9832.94,9323.82,9509.45,593918718.06
1590019200000,9509.45,9566.81,8811.54,9059.11,798218781.9499999
1590105600000,9059.11,9265.04,8936.82,9170.74,405255700.31999993
